,Unnamed: 0,J,2,3,4,5,6,7,8,9,10,11,12,popup,lat,lon
130,130,0.8800715990453459,13.7,34.4,62.6,155.7,140.6,137.6,179.2,235.0,163.5,23.4,5.2,ナコンサワン - タイ ,15.67,100.13
131,131,1.53639618138425,10.7,38.7,80.0,145.8,116.5,132.2,178.9,238.9,135.8,20.3,3.0,ナコンラチャシーマ - タイ ,14.97,102.09
132,132,3.60978520286396,19.4,53.6,92.7,215.4,209.9,182.9,212.0,343.6,304.0,46.5,13.5,バンコク - タイ ,13.73,100.56
133,133,1.0590692124105,17.0,28.0,60.7,165.6,164.8,183.5,227.0,264.0,138.9,31.7,7.0,ピッサヌローク - タイ ,16.8,100.28
134,134,4.74343675417661,22.6,66.1,59.2,98.4,92.8,119.7,99.4,102.0,237.4,131.9,24.4,プラチュアップキリカン - タイ ,11.84,99.81
135,135,15.244630071599,48.9,117.8,154.5,316.4,374.6,275.9,372.2,393.9,332.5,228.9,103.2,プーケット国際空港 - タイ ,8.15,98.31
136,136,13.6933174224344,120.2,96.0,144.4,80.1,19.3,1.3,0.5,7.5,33.3,65.4,46.7,ドゥシャンベ - タジキスタン ,38.58,68.73
137,137,2.2673031026253,26.0,18.7,12.2,3.0,4.5,2.6,4.9,7.7,22.0,23.1,15.7,エセンクリ - トルクメニスタン ,37.47,53.97
138,138,2.90871121718377,34.5,33.6,18.4,17.8,2.6,7.0,8.2,2.8,12.9,20.3,20.2,キジルアルバト - トルクメニスタン ,38.98,56.28
139,139,3.84844868735084,38.5,34.6,31.5,10.0,0.4,0.0,0.2,0.5,9.2,16.1,17.3,サラフス - トルクメニスタン ,36.53,61.22
140,140,1.11873508353222,11.9,13.2,12.5,8.2,3.1,1.5,1.2,1.9,5.3,8.9,8.2,ダシュハウース - トルクメニスタン ,41.75,59.82
141,141,1.5960620525059699,20.0,23.4,16.7,15.0,3.3,0.9,0.9,1.4,5.3,10.0,10.0,ダルガンアタ - トルクメニスタン ,40.47,62.28
142,142,1.5662291169451101,14.3,16.1,16.3,12.1,4.3,5.5,2.5,3.9,5.9,11.7,7.2,チャギル - トルクメニスタン ,40.78,55.33
143,143,1.92422434367542,12.9,19.7,19.5,7.2,2.3,2.0,1.5,4.3,12.0,16.8,11.0,トゥルクメンバシ - トルクメニスタン ,40.05,53.0
144,144,3.05787589498807,37.5,25.5,25.6,9.9,0.2,0.0,0.1,0.2,8.6,16.4,13.3,バイラマリー - トルクメニスタン ,37.6,62.18
145,145,1.47673031026253,13.4,32.9,99.4,173.4,254.5,290.4,182.1,220.8,133.8,8.4,8.5,イシュルディ - バングラデシュ ,24.13,89.05
146,146,0.8353221957040571,6.6,62.3,105.0,284.8,877.4,1001.1,658.0,394.4,252.1,21.6,7.9,コックスバザール - バングラデシュ ,21.43,91.93
147,147,1.87947494033413,38.8,137.1,428.3,633.7,835.3,690.0,636.1,506.1,217.6,11.2,23.9,シルヘット - バングラデシュ ,24.9,91.88
148,148,1.58114558472554,31.6,31.0,90.6,169.3,259.8,380.7,298.9,193.4,119.7,13.4,13.4,ジェソール - バングラデシュ ,23.18,89.17
149,149,1.11873508353222,23.7,48.2,148.5,299.5,311.8,362.5,296.0,235.4,165.4,14.2,16.0,ダッカ - バングラデシュ ,23.77,90.38
150,150,1.3275656324582301,15.3,49.3,119.7,354.5,696.4,716.6,474.5,324.2,276.4,26.4,4.9,チッタゴン - バングラデシュ ,22.27,91.82
151,151,1.78997613365155,16.0,20.6,138.6,259.1,333.1,446.9,326.4,287.9,165.0,55.2,11.9,バリサル - バングラデシュ ,22.75,90.37
152,152,1.28281622911695,21.6,20.4,83.9,249.5,300.2,340.2,212.4,306.7,133.4,1.2,14.9,ボーグラ - バングラデシュ ,24.85,89.37
153,153,0.9994033412887829,10.5,31.2,128.6,310.2,377.3,389.2,281.0,371.1,97.5,2.9,2.1,ランプル - バングラデシュ ,25.73,89.23
